film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update,special_features,fulltext
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,NULL,3,4.99,129,17.99,R,46:03.9,"{Commentaries,""Behind the Scenes""}",'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,NULL,6,2.99,85,10.99,G,46:03.9,"{Commentaries,""Behind the Scenes""}",'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,NULL,3,0.99,92,9.99,R,46:03.9,"{Trailers,""Deleted Scenes""}","'anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13"
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,NULL,6,2.99,181,19.99,R,46:03.9,"{Trailers,""Behind the Scenes""}",'analyz':1 'chef':12 'desert':21 'display':5 'explor':8 'feminist':17 'hoosier':2 'must':14 'overcom':15 'pastri':11 'sahara':20 'thought':4
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,NULL,3,2.99,74,15.99,G,46:03.9,{Trailers},'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,NULL,3,0.99,86,15.99,G,46:03.9,"{Commentaries,""Deleted Scenes""}",'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,NULL,7,0.99,179,12.99,NC-17,46:03.9,"{""Deleted Scenes"",""Behind the Scenes""}","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22"
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,NULL,5,4.99,91,16.99,PG-13,46:03.9,"{""Deleted Scenes"",""Behind the Scenes""}",'abandon':19 'amus':20 'anthem':1 'dog':16 'luke':2 'must':13 'outrac':14 'panorama':5 'park':21 'touch':4 'waitress':8 'woman':11
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,NULL,5,2.99,168,11.99,NC-17,46:03.9,"{Trailers,Commentaries,""Deleted Scenes""}",'administr':17 'ancient':19 'antitrust':1 'databas':16 'fate':4 'feminist':11 'india':20 'must':13 'succumb':14 'tomato':2 'woman':8 'yarn':5
30,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,NULL,4,2.99,82,27.99,R,46:03.9,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12
31,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,NULL,5,4.99,92,16.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'apach':1 'awe':5 'awe-inspir':4 'boat':25 'chef':11 'divin':2 'inspir':6 'must':16 'overcom':17 'pastri':10 'reflect':7 'sumo':19 'teacher':14 'u':24 'u-boat':23 'wrestler':20
32,APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,1,NULL,6,4.99,119,11.99,R,46:03.9,"{Trailers,Commentaries}",'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16
33,APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,NULL,5,2.99,153,15.99,PG-13,46:03.9,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':22 'action':5 'action-pack':4 'apollo':1 'crocodil':10 'explor':13 'find':16 'mine':23 'must':15 'pack':6 'reflect':7 'shaft':24 'sumo':18 'teen':2 'wrestler':19
34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,1,NULL,6,0.99,62,29.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes""}",'arabia':1 'cow':12 'defeat':15 'dogma':2 'epistl':5 'mad':11 'madman':8 'must':14 'nigeria':19 'student':17 'touch':4
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,1,NULL,4,2.99,147,24.99,PG-13,46:03.9,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'action':5 'action-pack':4 'arachnophobia':1 'chef':11 'compos':14 'discov':17 'first':23 'mad':19 'man':24 'must':16 'pack':6 'pastri':10 'reflect':7 'rollercoast':2 'scientist':20 'space':25 'station':26
36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,1,NULL,7,0.99,127,12.99,PG-13,46:03.9,"{Trailers,Commentaries}",'abandon':20 'argonaut':1 'butler':12 'challeng':15 'emot':4 'epistl':5 'forens':8 'mine':21 'must':14 'psychologist':9 'shaft':22 'town':2 'waitress':17
37,ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,2006,1,NULL,3,2.99,121,28.99,PG,46:03.9,"{Trailers,""Deleted Scenes""}","'arizona':1 'bang':2 'brilliant':4 'cow':13 'mad':8,12 'meet':16 'monasteri':21 'must':15 'panorama':5 'pioneer':18 'scientist':9"
38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,1,NULL,6,0.99,68,25.99,NC-17,46:03.9,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ark':1 'beauti':4 'desert':20 'explor':16 'monkey':11 'must':13 'pioneer':8 'pursu':14 'ridgemont':2 'sahara':19 'yarn':5
39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,1,NULL,5,0.99,99,10.99,G,46:03.9,{Trailers},'abandon':21 'armageddon':1 'boat':10 'compos':18 'fast':5 'fast-pac':4 'lost':2 'mine':22 'must':15 'pace':6 'shaft':23 'succumb':16 'tale':7 'teacher':13
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,NULL,4,0.99,148,22.99,R,46:03.9,"{Trailers,Commentaries}",'administr':9 'armi':1 'battl':15 'bore':4 'databas':8 'flintston':2 'must':14 'nigeria':19 'saga':5 'waitress':17 'woman':12
41,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,1,NULL,4,0.99,137,17.99,PG,46:03.9,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'arsenic':1 'berlin':19 'cow':9 'dentist':17 'documentari':5 'fanci':4 'find':15 'independ':2 'mad':8 'must':14 'woman':12
42,ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,NULL,5,2.99,170,10.99,NC-17,46:03.9,"{Trailers,""Behind the Scenes""}",'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16
43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,NULL,6,2.99,170,15.99,G,46:03.9,"{""Behind the Scenes""}",'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,NULL,5,4.99,113,21.99,PG-13,46:03.9,"{Trailers,""Behind the Scenes""}",'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11
45,ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,1,NULL,5,4.99,83,14.99,PG-13,46:03.9,"{Trailers,""Behind the Scenes""}",'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14
46,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,NULL,3,4.99,108,13.99,G,46:03.9,"{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5
47,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,NULL,5,4.99,153,23.99,NC-17,46:03.9,{Commentaries},'abandon':21 'babi':1 'bore':4 'charact':5 'feminist':18 'girl':13 'hall':2 'mine':22 'must':15 'outrac':16 'shaft':23 'shark':10 'studi':6
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,NULL,3,4.99,118,24.99,PG-13,46:03.9,"{Trailers,""Behind the Scenes""}","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2"
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,NULL,6,2.99,162,22.99,R,46:03.9,"{Trailers,Commentaries,""Behind the Scenes""}",'badman':1 'boat':21 'compos':11 'dawn':2 'emot':4 'escap':14 'jet':20 'mad':16 'must':13 'panorama':5 'pioneer':8 'scientist':17
50,BAKED CLEOPATRA,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,2006,1,NULL,3,2.99,182,20.99,G,46:03.9,"{Commentaries,""Behind the Scenes""}",'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17
51,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,2006,1,NULL,5,2.99,75,10.99,NC-17,46:03.9,"{""Deleted Scenes""}","'balloon':1 'build':16 'cow':13 'first':22 'forens':8 'homeward':2 'insight':4 'mad':12,18 'man':23 'must':15 'panorama':5 'psychologist':9 'scientist':19 'space':24 'station':25"
52,BALLROOM MOCKINGBIRD,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,1,NULL,6,0.99,173,29.99,G,46:03.9,"{Commentaries,""Deleted Scenes""}",'ballroom':1 'california':18 'compos':8 'documentari':5 'feminist':16 'find':14 'mockingbird':2 'monkey':11 'must':13 'thrill':4
53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,2006,1,NULL,5,2.99,87,25.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'abandon':20 'amus':21 'bang':1 'cat':11 'drama':5 'epic':4 'face':14 'kwai':2 'madman':8 'must':13 'park':22 'shark':17
54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,2006,1,NULL,5,0.99,113,15.99,R,46:03.9,"{Trailers,Commentaries,""Deleted Scenes""}",'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25
55,BARBARELLA STREETCAR,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,2006,1,NULL,6,2.99,65,27.99,G,46:03.9,"{""Behind the Scenes""}",'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2
56,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,2006,1,NULL,6,2.99,129,15.99,G,46:03.9,"{Trailers,Commentaries}",'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14
57,BASIC EASY,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,2006,1,NULL,4,2.99,90,18.99,PG-13,46:03.9,"{""Deleted Scenes""}",'basic':1 'boat':21 'easi':2 'epistl':5 'husband':11 'jet':20 'mad':16 'man':8 'must':13 'reach':14 'scientist':17 'stun':4
58,BEACH HEARTBREAKERS,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,2006,1,NULL,6,2.99,122,16.99,G,46:03.9,"{""Deleted Scenes"",""Behind the Scenes""}",'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8
59,BEAR GRACELAND,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,2006,1,NULL,4,2.99,160,20.99,R,46:03.9,"{""Deleted Scenes""}",'astound':4 'bear':1 'boy':11 'dog':8 'first':19 'graceland':2 'kill':14 'man':20 'must':13 'saga':5 'space':21 'station':22 'teacher':16
60,BEAST HUNCHBACK,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,1,NULL,3,4.99,89,22.99,R,46:03.9,"{""Deleted Scenes"",""Behind the Scenes""}",'ancient':20 'awe':5 'awe-inspir':4 'beast':1 'boy':18 'china':21 'defeat':16 'epistl':7 'hunchback':2 'inspir':6 'must':15 'squirrel':13 'student':10
61,BEAUTY GREASE,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,2006,1,NULL,5,4.99,175,28.99,G,46:03.9,"{Trailers,Commentaries}",'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16
62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,1,NULL,5,2.99,106,23.99,NC-17,46:03.9,"{Trailers,Commentaries,""Deleted Scenes""}",'abandon':19 'astound':4 'bed':1 'dog':11 'fun':20 'highbal':2 'hous':21 'lumberjack':8 'must':13 'panorama':5 'redeem':14 'woman':16
63,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,2006,1,NULL,6,0.99,73,21.99,PG,46:03.9,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'abandon':21 'astound':4 'bedazzl':1 'charact':5 'fun':22 'hous':23 'mad':17 'madman':9 'marri':2 'meet':15 'must':14 'robot':12 'scientist':18 'studi':6
64,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,1,NULL,6,0.99,151,26.99,PG-13,46:03.9,"{Commentaries,""Behind the Scenes""}",'beethoven':1 'butler':16 'challeng':14 'display':5 'epic':4 'exorcist':2 'gulf':19 'mexico':21 'must':13 'pioneer':8 'student':11
65,BEHAVIOR RUNAWAY,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,2006,1,NULL,3,4.99,100,20.99,PG,46:03.9,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'behavior':1 'berlin':19 'drama':5 'husband':11 'must':13 'outrac':14 'runaway':2 'student':8 'sumo':16 'unbeliev':4 'wrestler':17
66,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,2006,1,NULL,6,0.99,53,27.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes""}","'astound':4 'beneath':1 'discov':14 'first':19 'man':8,16,20 'monkey':11 'must':13 'panorama':5 'rush':2 'space':21 'station':22"
67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,2006,1,NULL,5,2.99,77,24.99,PG-13,46:03.9,"{""Deleted Scenes""}",'agent':2 'ancient':19 'beret':1 'boy':11 'china':20 'crocodil':8 'must':13 'overcom':14 'saga':5 'taut':4 'technic':16 'writer':17
68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,1,NULL,5,4.99,122,26.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'betray':1 'boat':9 'charact':5 'emot':4 'explor':17 'find':15 'must':14 'pioneer':12 'rear':2 'shark':20 'studi':6 'tank':21
69,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,1,NULL,3,2.99,85,21.99,R,46:03.9,{Trailers},'bever':1 'boat':11 'defeat':14 'documentari':5 'fanci':4 'first':19 'madman':16 'man':20 'must':13 'outlaw':2 'space':21 'station':22 'woman':8
70,BIKINI BORROWERS,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,2006,1,NULL,7,4.99,142,26.99,NC-17,46:03.9,"{Commentaries,""Deleted Scenes""}",'astound':4 'astronaut':8 'bikini':1 'borrow':2 'cat':11 'discov':14 'drama':5 'first':19 'man':20 'must':13 'space':21 'station':22 'woman':16
71,BILKO ANONYMOUS,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,2006,1,NULL,3,4.99,100,25.99,PG-13,46:03.9,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'anonym':2 'bilko':1 'cat':16 'emot':4 'first':19 'man':11,20 'meet':14 'must':13 'reflect':5 'space':21 'station':22 'teacher':8"
72,BILL OTHERS,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,2006,1,NULL,6,2.99,93,12.99,PG,46:03.9,"{Trailers,Commentaries}",'bill':1 'challeng':16 'convent':22 'forens':12 'mad':8 'must':15 'mysql':21 'other':2 'psychologist':13 'saga':5 'scientist':9 'squirrel':18 'stun':4
73,BINGO TALENTED,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,2006,1,NULL,5,2.99,150,22.99,PG-13,46:03.9,"{Trailers,Commentaries}",'bingo':1 'crocodil':11 'discov':14 'girl':8 'must':13 'nigeria':18 'tale':5 'talent':2 'touch':4 'waitress':16
74,BIRCH ANTITRUST,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,2006,1,NULL,4,4.99,162,18.99,PG,46:03.9,"{Trailers,Commentaries,""Deleted Scenes""}",'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11
